material;melhorContaminação;melhorrecall;melhoracuracia;tp;tn;fn;fp;recallmedio;acuraciamedia
104671,0;0,13;1,0;0,89;1185,0;41232,0;0,0;4977,0;1,0;0,88
150658,0;0,11;1,0;0,92;436,0;15494,0;0,0;1479,0;1,0;0,88
445485,0;0,12;1,0;0,91;21,0;652,0;0,0;68,0;1,0;0,88
402920,0;0,03;1,0;1,0;10,0;421,0;0,0;0,0;1,0;0,89
150877,0;0,06;1,0;0,96;9,0;361,0;0,0;14,0;1,0;0,87
481567,0;0,12;1,0;0,91;11,0;314,0;0,0;32,0;1,0;0,88
460872,0;0,09;1,0;0,97;20,0;315,0;0,0;12,0;1,0;0,91
469793,0;0,05;1,0;1,0;13,0;264,0;0,0;0,0;1,0;0,62
461652,0;0,03;1,0;0,99;5,0;202,0;0,0;2,0;1,0;0,88
464381,0;0,12;1,0;0,91;6,0;180,0;0,0;19,0;1,0;0,88
461506,0;0,15;0,83;0,89;10,0;159,0;2,0;19,0;0,8;0,89
463795,0;0,08;1,0;0,94;4,0;146,0;0,0;9,0;1,0;0,86
150515,0;0,14;0,75;0,88;3,0;136,0;1,0;18,0;1,0;0,85
