material;tn;fp;fn;tp;recall;acuracia;f1
104671;41682;4486;2;1198;99,83;90,53;34,81
150658;15319;1654;0;436;100,0;90,5;34,52
445485;651;69;0;21;100,0;90,69;37,84
402920;421;0;0;10;100,0;100,0;100,0
150877;334;38;0;9;100,0;90,03;32,14
481567;313;32;0;11;100,0;91,01;40,74
460872;303;22;0;20;100,0;93,62;64,52
469793;0;0;11;2;15,38;15,38;26,67
461652;181;20;0;5;100,0;90,29;33,33
464381;176;19;0;6;100,0;90,55;38,71
461506;161;17;5;7;58,33;88,42;38,89
463795;137;15;0;4;100,0;90,38;34,78
150515;136;17;1;3;75,0;88,54;25,0
Total;59814;6389;19;1732;98,91;90,57;35,09
